ID	System	Annotator	Source	Reference	Hypothesis	Difficulty	Accuracy	Addition	Duplication	Fluency	Grammar	Mistranslation	NonExistingWordForm	Omission	OverlyLitteral	Typography	Unintelligible	WordOrder
1	PA_offline	A1	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never let someone fly with an airplane, if nine planes that pick up, one falls down.	0.65	1	0	0	0	2	1	0	0	0	0	0	0
1	PA_offline	A2	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never let someone fly with an airplane, if nine planes that pick up, one falls down.	0.65	0	0	0	0	0	3	0	1	0	0	0	0
1	PA_online	A1	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never have somebody fly on an airplane if for nine planes that would pick up, one of them falls down.	0.65	0	0	0	0	2	1	0	0	0	0	0	0
1	PA_online	A2	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never have somebody fly on an airplane if for nine planes that would pick up, one of them falls down.	0.65	0	1	0	0	0	5	0	0	1	0	0	0
1	TF_offline	A1	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never let anybody fly on an airplane if they were nine planes, they would pick up, drop off.	0.65	0	1	0	0	2	2	0	1	0	0	0	0
1	TF_offline	A2	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never let anybody fly on an airplane if they were nine planes, they would pick up, drop off.	0.65	0	0	0	0	0	3	0	1	0	0	0	0
1	TF_online	A1	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never ever have someone fly with an airplane if they were to fly at nine planes, drop off.	0.65	1	2	0	0	2	2	0	1	0	0	0	0
1	TF_online	A2	Wir würden niemals jemanden mit einem Flugzeug fliegen lassen, wenn für neun Flugzeuge, die abheben, eines abstürzt.	In aviation, we would never let people fly on airplanes if for every nine planes that took off one would crash.	We would never ever have someone fly with an airplane if they were to fly at nine planes, drop off.	0.65	1	2	1	0	0	2	0	1	1	0	0	0
2	PA_offline	A1	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	PA_offline	A2	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	PA_online	A1	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	PA_online	A2	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	TF_offline	A1	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	TF_offline	A2	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	0	0	0
2	TF_online	A1	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain, and the nervous system of these communities.	1.31	0	0	0	0	0	0	0	0	0	1	0	0
2	TF_online	A2	Und dies war das Gehirn und das Nervensystem dieser Gemeinschaften.	And that was the brains and the nervous system of those communities.	And this was the brain, and the nervous system of these communities.	1.31	0	0	1	0	0	0	0	0	0	0	0	0
3	PA_offline	A1	Und hier, hier sieht er ein Muster von Bündeln, das ihn an die tansanische Giraffe erinnert.	And here, here he sees a grouping pattern that reminds him of the Tanzanian Giraffe.	And here, this is a pattern of albs that reminds him of the tansanic giraffe.	3.32	0	0	0	0	0	2	1	0	0	0	0	0
